,title,texte,texte_keyword,keyword_without_ent,keyword_without_stop_word,keywords_lematisations
55,Tactile. ,"les autobus sont doux au toucher surtout si on les prend entre les cuisses et qu'on les caresse avec les
deux mains, de la tête vers la queue, du moteur vers la plate-forme. mais quand on se trouve sur cette
plate-forme alors on perçoit quelque chose de plus âpre et de plus rêche qui est la tôle ou la barre
d'appui, tantôt quelque chose de plus rebondi et de plus élastique qui est une fesse.
quelquefois il y en a deux, alors on met la phrase au pluriel. on peut aussi saisir un objet tubulaire et
palpitant qui dégurgite des sons idiots, ou bien un ustensile aux spirales tressées plus douces qu'un
chapelet, plus soyeuses qu'un fil de fer barbelé, plus veloutées qu'une corde et plus menues qu'un
câble.ou bien encore on peut toucher du doigt la connerie humaine, légèrement visqueuse et gluante, à
cause de la chaleur.
puis si l'on patiente une heure ou deux, alors devant une gare raboteuse, on peut tremper sa main tiède
dans l'exquise fraîcheur d'un bouton de corozo qui n'est pas à sa place.",deux mains$objet tubulaire$sons idiots$connerie humaine$gare raboteuse,deux$mains$objet$tubulaire$sons$idiots$connerie$humaine$gare$raboteuse,mains$objet$tubulaire$sons$idiots$connerie$humaine$gare$raboteuse,deux$main$deux$objet$tubulaire$son$idiot$connerie$humain$deux$gare$raboteux
56,Visuel. ,"dans l'ensemble c'est vert avec un toit blanc, allongé, avec des vitres. c'est pas le premier venu qui
pourrait faire ça, des vitres. la plate-forme c'est sans couleur, c'est moitié gris moitié marron si l'on veut.
c'est surtout plein de courbes, des tas d's pour ainsi dire. mais à midi comme ça, heure d'affluence, c'est
un drôle d'enchevêtrement. pour bien faire faudrait étirer hors du magma un rectangle d'ocre pâle, y
planter au bout un ovale pâle ocre et là-dessus coller dans les ocres foncés un galurin que cernerait une
tresse de terre de
sienne brülée et entremêlée par-dessus le marché. puis on t'y foutrait une tache caca d'oie pour
représenter la rage, un triangle rouge pour exprimer la colère et une pissée de vert pour rendre la bile
rentrée et la trouille foireuse.
après ça on te dessinerait un de ces jolis petits mignons de pardingues bleu marine avec, en haut, juste
en dessous de l'échancrure, un joli mignon bouton dessiné au petit quart de poil. 
",toit blanc$moitié gris moitié marron$ocre pâle$ovale pâle ocre$tache caca,toit$blanc$moitié$gris$moitié$marron$ocre$pâle$ovale$pâle$ocre$tache$caca,toit$blanc$moitié$gris$moitié$marron$ocre$pâle$ovale$pâle$ocre$tache$caca,toit$blanc$moitier$gris$moitié$marron$ocre$pâle$ovale$pâle$ocre$tache$cacer
57,Auditif. ,"coinquant et pétaradant, l's vint crisser le long du trottoir silencieux. le trombone du soleil bémolisait
midi. les piétons, braillantes cornemuses, clamaient leurs numéros. quelques-uns montèrent d'un demiton, ce qui suffit pour les emporter vers la porte champerret aux chantantes arcades. parmi les élus
haletants, figurait un tuyau de clarinette à qui les malheurs des temps avaient donné forme humaine et la
perversité d'un chapelier pour porter sur la timbale un instrument qui ressemblait à une guitare qui aurait
tressé ses cordes pour s'en faire une ceinture. soudain au milieu d'accords en mineur de voyageurs
entreprenants et de voyajrices consentantes et des trémolos bêlants du receveur rapace éclate une
cacophonie burlesque où la rage de la contrebasse se mêle à l'irritation de la trompette et à la frousse du
basson.
puis, après soupir, silence, pause et double-pause, éclate la mélodie triomphante d'un bouton en train de
passer à l'octave supérieure.",trottoir silencieux$chantantes arcades$forme humaine$voyageurs entreprenants$receveur rapace,trottoir$silencieux$chantantes$arcades$forme$humaine$voyageurs$entreprenants$receveur$rapace,trottoir$silencieux$chantantes$arcades$forme$humaine$voyageurs$entreprenants$receveur$rapace,trottoir$silencieux$chantant$arcade$forme$humain$voyageur$entreprenant$receveur$rapace
58,Télégraphique ,"bus bondé stop jnhomme long cou chapeau cercle tressé apostrophe voyageur
inconnu sans prétexte valable stop question doigts pieds froissés contact
talon prétendu volontaire stop jnhomme abandonne discussion pour place
libre stop quatorze heures place rome jnhomme écoute conseils
vestimentaires camarade stop déplacer bouton stop signé arcturus.",jnhomme$place$long cou chapeau cercle$apostrophe voyageur inconnu$prétexte valable stop question doigts pieds,jnhomme$place$long$cou$chapeau$cercle$apostrophe$voyageur$inconnu$prétexte$valable$stop$question$doigts$pieds,jnhomme$place$long$cou$chapeau$cercle$apostrophe$voyageur$inconnu$prétexte$valable$question$doigts$pieds,
59,Ode,"dans l'autobus
dans l'autobon
l'autobus s
l'autobusson
qui dans les rues
qui dans les ronds
va son chemin
à petits bonds
près de monceau
près de monçon
par un jour chaud
par un jour chon
un grand gamin
au cou trop long
porte un chapus
porte un chapon
dans l'autobus
dans l'autobon
sur le chapus
sur le chapon
y a une tresse
y a une tron
dans l'autobus
dans l'autobon
et par dlassusse
et par dlasson
y a de la presse
et y a du pron
et lgrand gamin
au cou trop long
i râle un brin
i râle un bron
contre un lapsus
contre un lapon
dans l'autobus
dans l'autobon
mais le lapsus
mais le lapon
pas commodus
pas commodon
montre ses dents
montre ses dons
sur l'autobus
sur l'autobon
et lgrand gamin
au cou trop long
va mett ses fesses
va mett son fond
dans le bus s
dans le busson
sur la banquette
pour les bons cons
sur la banquette
pour les bons cons
moi le poète
au gai pompon
19
un peu plus tard
un peu plus thon
à saint-lazare
à saint-lazon
qu'est une gare
pour les bons gons
je rvis lgamin
au cou trop long
et son pardingue
dmandait pardon
à un copain
à un copon
pour un boutus
pour un bouton
près dl'autobus
près dl'autobon
si cette histoire
si cette histon
vous intéresse
vous interon
n'ayez de cesse
n'ayez de son
avant qu'un jour
avant qu'un jon
sur un bus s
sur un busson
vous ne voyiez
les yeux tout ronds
le grand gamin
au cou trop long
et son chapus
et son chapon
et son boutus
et son bouton
dans l'autobus
dans l'autobon
l'autobus s
l'autobusson",autobon$grand gamin$bons cons$chapus$petits bonds,autobon$grand$gamin$chapus$petits$bonds,autobon$grand$gamin$bons$cons$chapus$petits$bonds,autobon$petit$bond$grand$gamin$chapu$autobon$chapu$autobon$gamin$autobon$autobon$gamin$bon$con$bon$con$bon$autobon$grand$gamin$chapu$autobon
60,Permutations par groupes croissants de lettres,"rvers unjou urlap midis ormea latef eduna rrièr sdela utobu sjape ligne njeun rçusu eauco ehomm longq
utrop taintu uipor eauen nchap dunga touré essé lontr. nilint soudai asonvo erpell préten isinen ecelui
dantqu aitexp cifais uimarc résdel lespie hersur uefois dschaq ntaito quilmo ndaitd udesce geurs esvoya.
onnadai ilaband apideme lleursr cussion ntladis etersur poursej elibre uneplac.
heures pl quelques le revisd us tard je are sait evant lag grande co lazare en on avec un nversati qui lui di
camarade ireremon sait de fa ton supér ter le bou npardess ieur de so us.",heures pl$lag grande$so us,heures$pl$lag$grande$so$us,heures$pl$lag$grande$so$us,pl$us$lag$grand$so$us
61,Permutations par groupes croissants de mots ,"jour un midi vers, la sur arrière plate-forme un d'de autobus ligne la j's un aperçus jeune au homme trop
cou qui long un portait entouré chapeau un d'tressé galon. interpella son soudain il prétendant que voisin
en exprès de celui-ci faisait sur les lui marcher fois qu'pieds chaque ou descendait il montait des
voyageurs. ailleurs rapidement la il abandonna d'jter sur une discussion pour se place libre.
je le revis devant quelques heures plus tard en grande conversation avec la gare saint-lazare disait de
faire remonter un camarade qui lui supérieur de son pardessus un peu le bouton. ",arrière plate-forme$autobus ligne$place libre$grande conversation,arrière$plate-forme$autobus$ligne$place$libre$grande$conversation,arrière$plate-forme$autobus$ligne$place$libre$grande$conversation,arrière$autobus$ligne$placer$libre$grand$conversation
62,Hellénismes,"dans un hyperautobus plein de pétrolonautes, je fus martyr de ce microrama en une chronie de
métaffluence: un hypotype plus qu'icosapige avec un pétase péricyclé par caloplegme et un
macrotrachèle eucylindrique anathématise emphatiquement un éphémère et anonyme outisse, lequel, à
ce qu'il pseudolégeait, lui épivédait sur les bipodes mais, dès qu'il euryscopa une coenotopie, il se
péristropha pour s'y catapelter.
en une chronie hystère, je l'esthèsis devant le sidérodromeux stathme hagiolazarique, péripatant avec un
compsanthrophe qui lui symboulait la métacinèse d'un omphale sphincter. ",omphale sphincter,omphale$sphincter,omphale$sphincter,omphale$sphincter
63,Ensembliste ,"dans l'autobus s considérons l'ensemble a des voyageurs assis et l'ensemble d des voyageurs debout. à
un certain arrêt, se trouve l'ensemble p des personnes qui attendent. soit c l'ensemble des voyageurs qui
montent; c'est un sous-ensemble de p et il est lui-même l'union de c' l'ensemble des voyageurs qui
restent sur la plate-forme et de c'' l'ensemble de ceux qui vont s'asseoir. démontrer que l'ensemble c'' est
vide.
z étant l'ensemble des zazous et {z} l'intersection de z et de c', réduite à un seul élément. à la suite de la
surjection des pieds de z sur ceux de y (élément quelconque de c' différent de z), il se produit un
ensemble m de mots prononcés par l'élément z. l'ensemble c'' étant devenu non vide, démontrer qu'il se
compose de l'unique élément z.
soit maintenant p l'ensemble des piétons se trouvant devant la gare saint-lazare, {z, z'} l'intersection de
z et de p, b l'ensemble des boutons du pardessus de z, b' l'ensemble des emplacements possibles des
dits boutons selon z', démontrer que l'injection de b dans b' n'est pas une bijection. ",ensemble p$seul élément$élément quelconque$élément z$unique élément z,p$seul$élément$élément$quelconque$élément$unique$élément,ensemble$p$élément$élément$élément$z$unique$élément$z,ensemble$ensemble$ensemble$ensemble$ensemble$ensemble$ensemble$ensemble$z$seul$élément$z$élément$quelconque$z$ensemble$élément$ensemble$unique$élément$ensemble$z$z$ensemble$z$ensemble$z
64,Définitionnel,"dans un grand véhicule automobile public de transport urbain désigné par la dix-neuvième lettre de
l'alphabet, un jeune excentrique portant un surnom donné à paris en 1942, ayant la partie du corps qui
joint la tête aux épaules s'étendant sur une certaine distance et portant sur l'extrémité supérieure du corps
une coiffure de forme variable entourée d'un ruban épais entrelacé en forme de natte - ce jeune
excentrique donc, imputant à un individu allant d'un lieu à un autre la faute consistant à déplacer ses
pieds l'un après l'autre sur les siens, se mit en route pour se mettre sur un meuble disposé pour qu'on
puisse s'y asseoir, meuble devenu non occupé.
cent vingt minutes plus tard, je le vis de nouveau devant l'ensemble des bâtiments et des voies d'un
chemin de fer où se font le dépôt des marchandises et l'embarquement ou le débarquement des
voyageurs. un autre jeune excentrique portant un surnom donné à paris en 1942 lui procurait des avis sur
ce qu'il convient de faire à propos d'un cercle de métal, de corne, de bois, etc., couvert ou non d'étoffe,
servant à attacher les vêtements, en l'occurrence un vêtement masculin qu'on porte par-dessus les
autres.",jeune excentrique$grand véhicule automobile public$transport urbain$dix-neuvième lettre$certaine distance,jeune$excentrique$grand$véhicule$automobile$public$transport$urbain$dix-neuvième$lettre$certaine$distance,jeune$excentrique$grand$véhicule$automobile$public$transport$urbain$dix-neuvième$lettre$distance,grand$véhicule$automobile$public$transport$urbain$dix-neuvième$lettre$jeune$excentrique$certain$distance$jeune$excentrique$jeune$excentrique
65,"Tanka 
","l’autobus arrive
un zazou à chapeau monte
un heurt il y a
plus tard devant saint-lazare
il est question d’un bouton",zazou,zazou,zazou,zazou
66,Vers libres. ,"l'autobus
plein
le coeur
vide
le cou
long
le ruban
tressé
les pieds
plats
plats et aplatis
la place
vide
et l'inattendue rencontre près de la gare aux mille feux éteints
de ce coeur, de ce cou, de ce ruban, de ces pieds,
de cette place vide,
et de ce bouton. 
",place$place vide$autobus plein$coeur vide$cou long,autobus$plein$coeur$cou$long,place$place$vide$autobus$plein$coeur$vide$cou$long,autobus$plein$coeur$vide$cou$long$place$vide$coeur$cou$place$vide
67,"Translation 
","dans l'y, en un hexagone d'affouragement. un typhon dans les trente-deux anacardiers, chapellerie
modeste avec coréopsis remplaçant la rubellite, couchette trop longue comme si on lui avait tiré dessus.
les gentillesses descendent. le typhon en quêteur s'irrite contre un voiturier. il lui reproche de le
bousculer chaque fois qu'il passe quelqu'un, tondeur pleurnichard qui se veut méchant. comme il voit une
placette libre, se précipite dessus.
huit hexagones plus loin, je le rencontre dans la courbe de roncq, devant la gargouille de saint-dizier. il
est avec un cambreur qui lui dit: « tu devrais faire mettre un bouton-pression supplémentaire à ton parechocs. » il lui montre où (à l'échantillon) et pourquoi.",trente-deux anacardiers chapellerie modeste$rubellite couchette$tondeur pleurnichard$placette libre$huit hexagones,trente-deux$anacardiers$chapellerie$modeste$rubellite$couchette$tondeur$pleurnichard$placette$libre$huit$hexagones,trente-deux$anacardiers$chapellerie$modeste$rubellite$couchette$tondeur$pleurnichard$placette$libre$hexagones,trente-deux$anacardier$chapellerie$modeste$rubellite$couchette$tondeur$pleurnichard$placette$libre$hexagone
68,Lipogramme,"voici.
au stop, l'autobus stoppa. y monta un zazou au cou trop long, qui avait sur son caillou un galurin au
ruban mou. il s'attaqua aux panards d'un quidam dont arpions, cors, durillons sont avachis du coup; puis il
bondit sur un banc et s'assoit sur un strapontin où nul n'y figurait.
plus tard, vis-à-vis la station saint-machin ou saint-truc, un copain lui disait: « tu as à ton raglan un
bouton qu'on a mis trop haut. »
voilà. ",ruban mou$cors durillons,ruban$mou$cors$durillons,ruban$mou$cors$durillons,ruban$mou$cor$durillon
69,Anglicisme,"un dai vers middai, je tèque le beusse et je sie un jeugne manne avec une grète nèque et un hatte avec
une quainnde de lesse tressés. soudainement ce jeugne manne bi-queumze crézé et acquiouse un
respectable seur de lui trider sur les toses. puis il reunna vers un site eunoccupé.
a une lète aoure je le sie egaine; il vouoquait eupe et daoune devant la ceinte lazare stécheunne. un
beau lui guivait un advice à propos de beutone. ",,nan,nan,
70,Prosthèses,"zun bjour hvers dmidi, dsur lla aplateforme zarrière zd'hun tautobus, gnon ploin ddu éparc omonceaux,
èje fremarquai hun éjeune phomme zau pcou strop mlong, cqui sexhibait hun tchapeau centouré d'zun
agalon stressé zau mlieu ede truban. bsoudain, zil tinterpella sson svoisin zen aprétendant ceque tceluitci rfaisait texprès ède zlui nmarcher ssur tles rpieds tchaque gfois cqu'uil zmontait zou rdescendait édes
jvoyageurs. hil babandonna trapidement lla xdiscussion épour sse ajeter ssur hune tplace uvide.
gquelques cheures aplus atard, èje lle rrevis ddevant lla agare esait-blazare zen rgrande xconversation
zavec hun gcamarade cqui élui rdonnait édes fconseils zau tsujet dd'hun mbouton éde tson
ppppppppppppppppppardessus. ",zd hun$dd hun,zd$dd,zd$hun$dd$hun,hun$hun$hun$hun$hun
71,Epenthèse,"uon jouir vears mirdi, suir lea plateforome arrièare d'uin autoibus s, joe vois uin homime aiu conu troup
loung quai poritait uin chaipeau enotouré d'uin galion tresasé avu lievu die ruaban. tovut à covup iel
interapella soin voiisin ein préteindant quie cealui-coi faissait exaprès die luvi marocher suar leis piedos
chaique fouis qvu'ill monatait ovu desicendait deus voyagreurs. iol abanodonna d'ailoleurs rapideument lia
discusision povur sie jeiter suir uane plabce livbre.
quelques heubres pluis taird, jie lie rievis debvant lia gaire savint-lazxare ein grainde conoversation
abvec uon camacrade quzi luzi dibsait die fagire relmonter uon pelu lie bobuton surpérieir die soin
pardesssssssssssssssssssus. 
",uin$uin galion$suar leis$die soin,soin,uin$uin$galion$suar$leis$die$soin,uin$uin$uin$uin$galion$die$soin$die$suar$leis$die$die$soin
72,Paragoges,"ung jourz verse midir, surl laa plateformet arrièreu d'uno autobusi, j'aperçuss uno jeuneu hommeu aux
coux tropr longg ett quie portaito ung chapeaux entourée d'ung galong tressés aux lieux deu rubann.
soudainj, il interpellat sono voisino eno prétendanti queue celuio-cix faisaito exprèso deu luiv marcheri
surb lesq piedsa chaquex foisa quh'ile montaiti oui descendaiti desd voyageursi. ilo abandonnat d'ailleurst
rapidemento lab discussiong pourv sei jeteri sura uneu placeu librex.
quelquesu heuresu plusu tardu, jeu leu revisu devantu lau gareu sainteu-lazareu enu grandex
conversationg aveco une camaradeb quib luib disaitr dew fairex remontert leq boutonq supérieurm dek
sonj pardessussssssssssssssssssssss. ",ett quie$ung chapeaux$ung galong$lieux deu$jeu leu,lieux$jeu,ett$quie$ung$chapeaux$ung$galong$lieux$deu$jeu$leu,ett$qui$ung$chapeau$ung$galong$lieu$deu$deu$jeu$leu
73,Parties du discours. ,"articles :le, la, les, un, une, des, du, au.
substantifs : jour, midi, plate-forme, autobus, ligne s, côté, parc, monceau, homme, cou, chapeau,
galon, lieu, coup, ruban, voisin, pieds, fois, voyageur, discussion, place, heures, gare, saint, lazare,
conversation, camarade, échancrure, pardessus, tailleur, bouton.
adjectifs : arrière, compétent, complet, entouré, grand, libre, long, tressé.
verbes : apercevoir, porter, interpeller, prétendre, faire, marcher, monter, descendre, abandonner, jeter,
revoir, dire, diminuer, faire, remonter.
pronoms : je, il, se, le, lui, son, qui, celui-ci, que, chaque, tout, quelque.
adverbes : peu, près, fort, exprès, ailleurs, rapidement, plus, tard.
prepositions : vers, sur, de, en, sur, devant, en, avec, par, à.
conjonctions : que, ou. ",substantifs jour midi plate-forme autobus ligne$côté parc monceau homme cou chapeau galon lieu coup ruban voisin pieds fois voyageur discussion place heures gare saint$conversation camarade échancrure pardessus tailleur bouton$adjectifs arrière compétent complet$grand libre long,substantifs$jour$midi$plate-forme$autobus$côté$parc$monceau$homme$cou$chapeau$galon$lieu$coup$ruban$pieds$fois$voyageur$discussion$place$heures$gare$saint$conversation$camarade$échancrure$pardessus$tailleur$bouton$adjectifs$arrière$compétent$complet$grand$libre$long,substantifs$jour$midi$plate-forme$autobus$ligne$côté$parc$monceau$homme$cou$chapeau$galon$lieu$coup$ruban$voisin$pieds$fois$voyageur$discussion$place$heures$gare$saint$conversation$camarade$échancrure$pardessus$tailleur$bouton$adjectifs$arrière$compétent$complet$grand$libre$long,jour$midi$autobus$ligne$côté$parc$homme$cou$chapeau$galon$lieu$coup$ruban$voisin$pied$fois$voyageur$discussion$place$heure$gare$saint$conversation$camarade$échancrure$pardessus$tailleur$bouton$arrière$compétent$complet$grand$libre$long
74,Métathèses ,"un juor vres miid, sru la palte-frome aièrrre d'un aubutos, je requarmai un hmome au cuo prot logn et au
pacheau enroulé d'une srote de filecle. soudian il prédentit qeu sno viosin liu machrait votonlairement sru
lse pides. mias étivant la quelerle il se prépicita sru enu pacle lirbe.
duex heuser psul trad je le rvise denavt la grae siant-laraze en comgnapie d'un pernosnage qiu liu
dannoit dse consiels au suejt d'u botuon.",sru enu$qiu liu,enu$qiu,sru$enu$qiu$liu,sru$liu$sru$sru$enu$qiu$liu
75,"Par devant par derrière. 
","un jour par devant vers midi par derrière sur la plate-forme par devant arrière par derrière d'un autobus
par devant à peu près complet par derrière, j'aperçus par devant un homme par derrière qui avait par
devant un long cou par derrière et un chapeau par devant entouré d'un galon tressé par derrière au lieu
de ruban par devant. tout à coup il se mit par derrière à engueuler par devant un voisin par derrière qui,
disait-il par devant, lui marchait par derrière sur les pieds par devant, chaque fois qu'il montait par derrière
des voyageurs par devant.
puis il alla par derrière s'asseoir par devant, car une place par derrière était devenue libre par devant.
un peu plus tard par derrière je le revis par devant la gare saint-lazare par derrière avec un ami par
devant qui lui donnait par derrière des conseils d'élégance. ",long cou,long$cou,long$cou,long$cou
76,Noms propres,"sur la joséphine arrière d'un léon complet, j'aperçus un jour théodule avec charles le trop long et gibus
entouré par trissotin et pas par rubens. tout à coup théodule interpella théodose qui piétinait laurel et
hardy chaque fois que montaient ou descendaient des poldèves. théodule abandonna d'ailleurs
rapidement eris pour laplace.
deux huyghens plus tard, je revis théodule devant saint-lazare en grand cicéron avec brummel qui lui
disait de retourner chez o'rossen pour faire remonter jules de trois centimètres.",joséphine arrière$léon complet$trois centimètres$théodule,joséphine$arrière$léon$complet$trois$centimètres$théodule,joséphine$arrière$léon$complet$centimètres$théodule,arrière$complet$trois$centimètre
77,Loucherbem,"un lourjingue vers lidimège sur la lateformeplic arrière d'un lobustotem, je gaffe un lypètinge avec un long
loukem et un lapeauchard entouré d'un lalongif au lieu de lubanrogue. soudain il se met à lenlèguer son
loisinvé parce qu'il lui larchemait sur les miépouilles. mais pas lavèbre il se trissa vers une lacepème
lidévée.
plus tard je le gaffe devant la laregame laintsoin lazarelouille avec un lypetogue dans son lenregome qui
lui donnait des lonseilcons à propos d'un loutonbé.
",,nan,nan,
78,Javanais,"unvin jovur vevers mividin suvur unvin vautobobuvus deveu lava livigneve essève, jeveu vapeverçuvus
unvin jeveunovomme vavecunvin lonvong couvou evet unvin chavapoveau envantouvourévé pavar uvune
fivicevelle ovau heuveu deveu ruvubanvan. toutvoutavoucou ivil invinterverpevellava sonvon
voisouasinvin envan prévetenvandenvant quivil luivui marcharvaichait suvur leves piévieds. ivil
avabanvandovonnava ravapivideveumenvant lava diviscuvussivion povur seveu jevetéver suvur uvune
plavaceveu livibreveu.
deveux heuveureuves pluvus tavard jeveu leveu reveuvivis deveuvanvant lava gavare sainvingtlavazavareveu evant granvandeveu convorseversavativion avvévec uvin cavamavaravadeveu quivi luivui
divisaitvait deveu divimivinivinuvuer l'évéchanvancruvure deveu sonvon pavardeveusseuvus envan
faivaisavant revemonvontéver pavar quévelquinvun deveu comvonpévétenvant leveu bouvoutonvon
suvupévérivieur duvu pavardeveussuvus evan quiévestivion. ",deveu$unvin$suvur$jeveu$pavar,deveu,deveu$unvin$suvur$jeveu$pavar,suvur$unvin$deveu$jeveu$unvin$unvin$pavar$deveu$suvur$suvur$jeveu$deveu$deveu$pavar$deveu
79,"Antonymique. 
","minuit. il pleut. les autobus passent presque vides. sur le capot d'un ai du côté de la bastille, un vieillard
qui a la tête rentrée dans les épaules et ne porte pas de chapeau remercie une dame placée très loin de
lui parce qu'elle lui caresse les mains. puis il va se mettre debout sur les genoux d'un monsieur qui
occupe toujours sa place.
deux heures plus tôt, derrière la gare de lyon, ce vieillard se bouchait les oreilles pour ne pas entendre
un clochard qui se refusait à dire qu'il lui fallait descendre d'un cran le bouton inférieur de son caleçon. ",tête rentrée$deux heures$bouton inférieur,tête$rentrée$deux$heures$bouton$inférieur,tête$rentrée$heures$bouton$inférieur,tête$rentrer$heure$bouton$inférieur
80,Macaronique ,"sol erat in regionem zenithi et calor atmospheri magnissima. senatus populusque parisiensis sudebant.
autobi passebant completi. in uno ex supradicti autobibus qui s denominationem portebat, hominem
quasi junum, cum collo multi elongato et cum chapito a galono tressato cerclaro vidi. iste junior insultavit
alterum hominem qui proximus erat pietinat, inquit, pedes meos post deliberationem animae tuae. tunc
sedem libram vidente, cucurrit la.
sol duas horas in coelo habebat descendues, sancti lazari stationem ferrocaminorum passente devant,
junum supradictum cum altero ejusdem farinae qui arbiter elegantiarum erat et qui apropo uno ex boutonis
capae junioris consilium donebat vidi.",sol erat in$in uno$cum collo multi$iste junior$alterum hominem,sol$in$in$multi$iste$junior$alterum,sol$erat$in$in$uno$cum$collo$multi$iste$junior$alterum$hominem,erat$in$uno$hominem$cum$collo$multi$cum$junior$alterum$hominem$erat$in$cum$erat$uno
81,"Homphonique 
","ange ouvert m'y dit sur la pelle à deux formes d'un haut obus (est-ce?), j'à peine sus un je nomme (ô
coulomb!) avec de l'adresse autour du chat beau. sous daim, il entrepella son veau à zinc qui (dix hait-
il?) lui maraîcher sur l'évier ex-pré. mais en veau (hi! han!) une pelle à ce vide ici près six bêtas à
bandeau non l'a dit ce cul: sion.
un peuple hue tard jeune viking par relais de vents la garce (un l'a tzar)! un nain dit ""vi eus lu"" idoine haie
dès qu'on scelle à peu rot pot debout. hon! ",deux formes$haut obus$chat beau$six bêtas$cul sion,deux$formes$haut$obus$chat$beau$six$bêtas$cul$sion,formes$haut$obus$chat$beau$bêtas$cul$sion,deux$forme$haut$obu$chat$beau$six$bêta$cul
82,"Italianismes 
","oune giorne en pleiné merigge, ié saille sulla plataforme d'oune otobousse et là quel ouome ié vidis? ié
vidis oune djiovanouome au longué col avé de la treccie otour dou cappel. et lé ditto djiovanouome
oltragge ouno pouovre ouome à qui il rimproveravait de lui pester les pieds et il ne lui pestarait noullément
les pieds, mais quand il vidit oune sédie vouote, il corrit por sedersilà.
à oune ouore dè l`, ié lé révidis qui ascolait les consigles d'oune bellimbouste et zerbinoote a proposto
d'oune bouttoné dé pardéssousse ",oune$ié$col avé$lé ditto$ié lé,,oune$ié$col$avé$lé$ditto$ié$lé,ié$oune$ié$ié$oune$col$avé$lé$ditto$oune$oune$ié$lé$oune$oune
83,Poor lay Zanglay ,"ung joor vare meedee ger preelotobus poor la port changparay. eel aytay congplay, praysk. jer mongtay
kang maym ay lar jer ay ger vee ung ohm ahvayk ung long coo ay ung chahrpo hangtooray dunn saughrt
der feessel trayssay. sir mirssyer sir mee ang caughlayr contrer ung ingdeeveeduh kee luhee marshay
suhr lay peehay, puhee eel arlah sarsswar.
ung per plus tarh jer ler rervee dervang lahr garsinglahzahr ang congparhrgnee d'ung dangdee kee luhee
congsayhiay der fare rermongtay d'ung crang ler bootong der song pahrdessuh. ",ung$ay lar jer ay ger vee ung ohm$ung long coo ay ung$sir mee ang$jer ler,lar$long,ung$ay$lar$jer$ay$ger$vee$ung$ohm$ung$long$coo$ay$ung$sir$mee$ang$jer$ler,ger$ay$lar$jer$ay$ger$vee$ung$ohm$ung$long$coo$ay$ung$sir$mee$ang$ung$jer$ler$ang$ung$ung$ler
84,Contre-petteries,"un mour vers jidi, sur la fate-plorme autière d'un arrobus, je his un vomme au fou lort cong et à l'entapeau
chouré d'une tricelle fessée. toudain, ce sype verpelle un intoisin qui lui parchait sur les mieds. cuis il
pourut vers une vlace pibre.
heux pleures tus dard, je le devis revant la sare laint-gazare en crain d'étouter les donseils d'un candy. ",,nan,nan,
85,Botanique. ,"après avoir fait le poireau sous un tournesol merveilleusement épanoui je me greffai sur une citrouille en
route vers le champ perret. là je déterre une courge dont la tige était montée en graine et le citron
surmonté d'une capsule entourée d'une liane. ce cornichon se met à enguirlander un navet qui piétinait
ses plates-bandes et lui écrasait ses oignons. mais, des dattes ! fuyant une récolte de châtaignes et de
marrons, il alla se planter en un terrain vierge.
plus tard je le revis devant la serre des banlieusards. il envisageait une bouture de pois chiche en haut de
sa corolle",champ perret$terrain vierge$pois chiche,perret$terrain$vierge$pois$chiche,champ$perret$terrain$vierge$pois$chiche,champ$terrain$vierge$pois$chiche
86,Médical. ,"après une petite séance d'héliothérapie, je craignis d'être mis en quarantaine, mais montai finalement
dans une ambulance pleine de grabataires. là, je diagnostique un gastralgique atteint de gigantisme
opiniâtre avec élongation trachéale et rhumatisme déformant du ruban de son chapeau. ce crétin pique
soudain une crise hystérique parce qu'un cacochyme lui pilonne son tylosis gompheux, puis ayant
déchargé sa bile il s'isole pour soigner ses convulsions.
plus tard je le revois, hagard devant un lazaret, en train de consulter un charlatan au sujet d'un furoncle
qui déparait ses pectoraux. ",petite séance$ambulance pleine$gigantisme opiniâtre$élongation trachéale$crétin pique,petite$séance$ambulance$pleine$gigantisme$opiniâtre$élongation$trachéale$crétin$pique,petite$séance$ambulance$pleine$gigantisme$opiniâtre$élongation$trachéale$crétin$pique,petit$séance$ambulance$plein$gigantisme$opiniâtre$élongation$trachéal$crétin$piqu
87,Injurieux. ,"après une attente infecte sous un soleil ignoble, je finis par monter dans un autobus immonde où se
serrait une bande de cons. le plus con d'entre ces cons était un boutonneux au sifflet démesuré qui
exhibait un galurin grotesque avec un cordonnet au lieu de ruban. ce prétentiard se mit à râler parce
qu'un vieux con lui piétinait les panards avec une fureur sénile ; mais il ne tarda pas à se dégonfler et se
débina dans la direction d'une place vide encore humide de la sueur des fesses du précédent occupant.
deux heures plus tard, pas de chance, je retombe sur le même con en train de pérorer avec un autre con
devant ce monument dégueulasse qu'on appelle la gare saint-lazare. ils bavardochaient à propos d'un
bouton. je me dis : qu'il le fasse monter ou descendre son furoncle, il sera toujours aussi moche, ce sale
con. ",soleil ignoble$autobus immonde$sifflet démesuré$vieux con$fureur sénile,soleil$ignoble$autobus$immonde$sifflet$démesuré$vieux$con$fureur$sénile,soleil$ignoble$autobus$immonde$sifflet$démesuré$vieux$con$fureur$sénile,soleil$ignoble$autobus$immonde$con$sifflet$démesuré$vieux$con$fureur$sénile$con$con$con
